"Time [ms]","CPU usage [%]","GC activity [%]","Size [B]","Used [B]","Total loaded","Shared loaded","Live","Daemon"
"03:38:32.217, 21 kwi 2023","5,0","0,0","524 288 000","456 705 112","10 110","0","34","24"
"03:38:42.217, 21 kwi 2023","5,0","0,0","524 288 000","337 708 872","10 110","0","34","24"
"03:38:52.218, 21 kwi 2023","4,9","0,0","524 288 000","438 282 520","10 110","0","34","24"
"03:39:02.218, 21 kwi 2023","5,0","0,0","524 288 000","316 559 968","10 110","0","34","24"
"03:39:12.218, 21 kwi 2023","5,0","0,0","524 288 000","423 718 136","10 110","0","34","24"
"03:39:22.219, 21 kwi 2023","4,9","0,0","524 288 000","293 714 864","10 110","0","34","24"
"03:39:32.220, 21 kwi 2023","5,0","0,0","524 288 000","402 950 872","10 110","0","34","24"
"03:39:42.221, 21 kwi 2023","4,9","0,0","524 288 000","283 488 904","10 110","0","33","23"
"03:39:52.222, 21 kwi 2023","4,9","0,0","524 288 000","388 393 048","10 110","0","33","23"
"03:40:02.222, 21 kwi 2023","5,0","0,0","524 288 000","264 672 640","10 110","0","33","23"
"03:40:12.222, 21 kwi 2023","5,0","0,0","524 288 000","386 338 136","10 110","0","33","23"
